cow_id,date,days_in_lactation,body_temp_c,activity_index,rumination_min,milk_yield_l,ambient_temp_c,humidity_pct,thi,health_status,alert_flag
COW_01,2025-06-01,26,38.46,59.4,421.2,31.42,19.3,71.2,18.6,Healthy,0
COW_02,2025-06-01,194,38.62,52.7,518.0,29.84,21.5,63.4,20.1,Healthy,0
COW_03,2025-06-01,51,38.52,42.3,499.8,31.17,16.5,50.1,15.9,Healthy,0
COW_04,2025-06-01,48,38.61,65.7,513.6,24.74,17.6,55.8,16.8,Healthy,0
COW_05,2025-06-01,109,38.38,42.8,514.7,16.98,17.4,78.6,17.1,Healthy,0
COW_06,2025-06-01,188,38.43,56.6,462.9,21.82,17.4,70.3,16.9,Healthy,0
COW_07,2025-06-01,213,38.72,62.9,531.9,33.48,15.8,65.7,15.5,Healthy,0
COW_08,2025-06-01,176,38.47,49.0,528.1,35.82,18.1,76.3,17.7,Healthy,0
COW_09,2025-06-01,180,38.7,51.0,504.0,35.56,14.2,48.0,14.3,Healthy,0
COW_10,2025-06-01,241,38.61,59.4,474.1,28.83,19.2,52.1,17.9,Healthy,0
COW_11,2025-06-01,139,38.83,49.4,461.4,30.38,16.4,67.1,16.1,Healthy,0
COW_12,2025-06-01,40,38.56,51.9,448.5,20.87,19.3,64.2,18.4,Healthy,0
COW_13,2025-06-01,129,38.44,56.1,416.1,29.58,18.5,67.9,17.8,Healthy,0
COW_14,2025-06-01,110,38.47,52.3,484.2,35.01,15.4,40.1,15.1,Healthy,0
COW_15,2025-06-01,178,38.76,51.1,528.1,27.3,14.8,64.6,14.8,Healthy,0
COW_16,2025-06-01,73,38.68,62.4,463.1,31.82,15.9,68.6,15.6,Healthy,0
COW_17,2025-06-01,49,38.58,64.5,516.9,27.35,19.2,78.6,18.7,Healthy,0
COW_18,2025-06-01,32,38.63,66.7,475.3,30.6,16.3,65.1,15.9,Healthy,0
COW_19,2025-06-01,56,38.59,61.0,488.6,36.21,16.4,76.4,16.1,Healthy,0
COW_20,2025-06-01,227,38.79,44.4,446.5,37.16,17.0,55.3,16.4,Healthy,0
COW_21,2025-06-01,87,38.47,60.0,476.0,22.22,17.3,74.9,16.9,Healthy,0
COW_22,2025-06-01,206,38.38,42.2,509.4,21.14,20.2,70.2,19.3,Healthy,0
COW_23,2025-06-01,20,38.53,60.5,558.8,34.22,18.1,54.6,17.2,Healthy,0
COW_24,2025-06-01,150,38.87,65.2,460.3,24.6,16.3,68.1,16.0,Healthy,0
COW_25,2025-06-01,207,38.57,52.9,473.3,22.88,16.3,66.6,16.0,Healthy,0
COW_26,2025-06-01,87,38.81,53.2,488.9,20.6,16.0,65.1,15.8,Healthy,0
COW_27,2025-06-01,25,38.49,62.7,550.8,33.5,17.4,44.0,16.5,Healthy,0
COW_28,2025-06-01,181,38.86,42.5,496.4,21.08,19.1,62.2,18.2,Healthy,0
COW_29,2025-06-01,91,38.77,59.8,477.0,25.88,16.3,58.5,15.9,Healthy,0
COW_30,2025-06-01,174,38.98,46.8,478.4,29.55,16.8,61.4,16.3,Healthy,0
COW_01,2025-06-02,27,38.45,66.6,428.5,31.41,19.1,57.3,18.0,Healthy,0
COW_02,2025-06-02,195,38.29,56.4,498.5,29.17,20.5,52.2,18.9,Healthy,0
COW_03,2025-06-02,52,38.69,58.2,511.7,30.17,18.0,57.9,17.2,Healthy,0
COW_04,2025-06-02,49,38.67,59.7,502.2,24.21,18.0,67.8,17.4,Healthy,0
COW_05,2025-06-02,110,38.44,46.4,485.0,19.66,19.7,58.5,18.5,Healthy,0
COW_06,2025-06-02,189,38.5,68.0,457.9,24.5,19.2,59.5,18.2,Healthy,0
COW_07,2025-06-02,214,38.64,63.3,521.4,32.81,18.9,66.2,18.1,Healthy,0
COW_08,2025-06-02,177,38.51,50.4,508.7,37.57,19.2,70.7,18.5,Healthy,0
COW_09,2025-06-02,181,38.48,59.5,494.4,36.28,21.4,54.8,19.7,Healthy,0
COW_10,2025-06-02,242,38.49,61.0,495.8,28.49,18.9,69.7,18.2,Healthy,0
COW_11,2025-06-02,140,38.77,48.8,498.8,33.08,19.6,64.3,18.6,Healthy,0
COW_12,2025-06-02,41,38.62,52.0,459.7,21.35,19.8,70.7,19.0,Healthy,0
COW_13,2025-06-02,130,38.66,62.7,440.6,25.59,17.5,57.0,16.8,Healthy,0
COW_14,2025-06-02,111,38.68,51.7,471.6,32.82,19.0,71.8,18.3,Healthy,0
COW_15,2025-06-02,179,38.7,62.4,523.3,26.88,17.5,49.9,16.7,Healthy,0
COW_16,2025-06-02,74,38.63,65.3,449.8,30.98,19.4,64.7,18.5,Healthy,0
COW_17,2025-06-02,50,38.75,60.5,503.9,27.38,19.4,78.4,18.8,Healthy,0
COW_18,2025-06-02,33,38.41,64.6,463.5,29.92,18.0,59.8,17.3,Healthy,0
COW_19,2025-06-02,57,38.63,52.0,495.8,37.18,18.1,60.7,17.4,Healthy,0
COW_20,2025-06-02,228,38.84,44.0,459.1,36.1,19.6,73.7,18.8,Healthy,0
COW_21,2025-06-02,88,38.6,57.0,477.8,23.52,20.5,70.2,19.6,Healthy,0
COW_22,2025-06-02,207,38.48,42.4,483.2,20.04,17.1,77.1,16.7,Healthy,0
COW_23,2025-06-02,21,38.51,53.4,490.4,33.16,21.2,75.0,20.3,Healthy,0
COW_24,2025-06-02,151,38.85,64.3,429.0,25.07,19.6,69.8,18.8,Healthy,0
COW_25,2025-06-02,208,38.6,45.4,485.1,19.22,18.3,55.7,17.4,Healthy,0
COW_26,2025-06-02,88,38.65,47.3,476.1,26.01,21.8,56.5,20.0,Healthy,0
COW_27,2025-06-02,26,38.54,58.9,580.1,33.72,16.6,62.9,16.2,Healthy,0
COW_28,2025-06-02,182,38.79,47.2,489.8,17.46,19.5,62.9,18.5,Healthy,0
COW_29,2025-06-02,92,38.77,62.3,487.2,24.42,17.6,62.1,17.0,Healthy,0
COW_30,2025-06-02,175,39.07,64.5,476.9,28.81,16.6,70.6,16.3,Healthy,0
COW_01,2025-06-03,28,38.53,60.8,418.7,31.68,20.9,63.8,19.6,Healthy,0
COW_02,2025-06-03,196,38.36,40.4,493.4,29.67,19.8,67.2,18.9,Healthy,0
COW_03,2025-06-03,53,38.68,52.0,469.5,32.46,21.7,74.1,20.7,Healthy,0
COW_04,2025-06-03,50,38.59,61.4,501.1,21.39,18.7,63.5,17.9,Healthy,0
COW_05,2025-06-03,111,38.48,36.7,488.2,19.43,18.1,64.8,17.4,Healthy,0
COW_06,2025-06-03,190,38.54,72.0,468.3,21.4,20.0,56.3,18.7,Healthy,0
COW_07,2025-06-03,215,38.78,73.8,537.5,35.19,17.4,54.7,16.7,Healthy,0
COW_08,2025-06-03,178,38.32,43.2,539.7,34.76,16.2,73.3,15.9,Healthy,0
COW_09,2025-06-03,182,38.58,58.3,481.6,36.04,16.6,76.3,16.4,Healthy,0
COW_10,2025-06-03,243,38.53,56.8,480.2,27.16,19.0,49.9,17.8,Healthy,0
COW_11,2025-06-03,141,38.7,40.0,478.6,29.87,18.0,63.7,17.3,Healthy,0
COW_12,2025-06-03,42,38.64,54.3,454.8,22.38,18.1,60.0,17.3,Healthy,0
COW_13,2025-06-03,131,38.59,57.8,408.2,27.44,16.8,64.6,16.4,Healthy,0
COW_14,2025-06-03,112,38.56,50.1,454.9,34.95,19.0,72.8,18.3,Healthy,0
COW_15,2025-06-03,180,38.73,59.4,554.1,29.32,18.9,61.5,18.0,Healthy,0
COW_16,2025-06-03,75,38.63,68.2,433.1,30.72,15.7,69.5,15.5,Healthy,0
COW_17,2025-06-03,51,38.59,56.9,504.2,27.21,18.8,66.1,18.0,Healthy,0
COW_18,2025-06-03,34,38.53,63.8,478.4,30.9,18.9,63.4,18.0,Healthy,0
COW_19,2025-06-03,58,38.53,57.2,492.1,35.74,17.0,65.6,16.6,Healthy,0
COW_20,2025-06-03,229,38.86,37.1,464.4,36.75,16.9,57.9,16.3,Healthy,0
COW_21,2025-06-03,89,38.68,59.6,463.7,21.51,18.7,59.2,17.8,Healthy,0
COW_22,2025-06-03,208,38.49,49.2,478.6,21.43,19.9,60.2,18.7,Healthy,0
COW_23,2025-06-03,22,38.55,48.4,518.5,33.11,16.5,70.7,16.1,Healthy,0
COW_24,2025-06-03,152,38.82,57.7,449.3,26.29,19.7,60.9,18.5,Healthy,0
COW_25,2025-06-03,209,38.68,48.5,450.1,21.93,18.4,53.0,17.4,Healthy,0
COW_26,2025-06-03,89,38.86,44.0,492.4,26.26,18.3,62.7,17.6,Healthy,0
COW_27,2025-06-03,27,38.32,53.7,570.6,33.34,20.4,49.3,18.8,Healthy,0
COW_28,2025-06-03,183,38.71,48.4,490.6,19.7,20.2,63.4,19.1,Healthy,0
COW_29,2025-06-03,93,38.87,56.3,461.8,24.34,19.8,63.7,18.7,Healthy,0
COW_30,2025-06-03,176,38.86,49.2,488.7,30.17,20.5,64.4,19.3,Healthy,0
COW_01,2025-06-04,29,38.4,59.2,429.5,33.25,20.2,68.4,19.2,Healthy,0
COW_02,2025-06-04,197,38.35,36.9,506.1,28.3,20.3,70.6,19.3,Healthy,0
COW_03,2025-06-04,54,38.59,57.8,494.3,30.05,21.4,70.1,20.3,Healthy,0
COW_04,2025-06-04,51,38.66,68.0,499.5,22.15,16.4,57.8,16.0,Healthy,0
COW_05,2025-06-04,112,38.33,38.2,478.0,17.51,20.0,55.8,18.7,Healthy,0
COW_06,2025-06-04,191,38.7,71.9,466.7,23.73,19.3,70.4,18.5,Healthy,0
COW_07,2025-06-04,216,38.88,58.2,517.7,34.4,19.4,57.8,18.3,Healthy,0
COW_08,2025-06-04,179,38.42,54.3,519.9,34.64,21.3,57.8,19.7,Healthy,0
COW_09,2025-06-04,183,38.51,67.0,492.2,37.54,19.5,64.8,18.5,Healthy,0
COW_10,2025-06-04,244,38.48,60.5,479.9,26.76,20.3,56.4,18.9,Healthy,0
COW_11,2025-06-04,142,38.79,40.5,458.6,29.72,18.5,58.8,17.6,Healthy,0
COW_12,2025-06-04,43,38.6,56.8,438.8,20.67,19.4,47.3,18.0,Healthy,0
COW_13,2025-06-04,132,38.35,59.6,434.7,30.58,20.8,61.6,19.5,Healthy,0
COW_14,2025-06-04,113,38.56,45.6,484.1,33.23,18.7,64.5,17.9,Healthy,0
COW_15,2025-06-04,181,38.75,64.6,517.8,31.41,21.7,51.1,19.7,Healthy,0
COW_16,2025-06-04,76,38.49,67.1,455.9,32.96,17.8,64.5,17.1,Healthy,0
COW_17,2025-06-04,52,38.72,53.4,504.3,26.4,20.6,75.9,19.8,Healthy,0
COW_18,2025-06-04,35,38.56,59.4,480.0,33.86,19.4,64.0,18.4,Healthy,0
